"season","lg","lg_avg_age","lg_avg_wt","g","lg_avg_mp","lg_avg_fg","lg_avg_fga","lg_avg_threes_made","lg_avg_threes_att","lg_avg_ft","lg_avg_fta","lg_avg_oreb","lg_avg_dreb","lg_avg_reb","lg_avg_ast","lg_avg_stl","lg_avg_blk","lg_avg_tov","lg_avg_pf","lg_avg_pts","lg_avg_fg_pct","lg_avg_threes_pct","lg_avg_ft_pct","lg_avg_pace","lg_avg_efg_pct","lg_avg_tov_pct","lg_avg_oreb_pct","lg_avg_ft_fga","lg_avg_ortg","lg_avg_ts_pct"
2025,"NBA",26.3,215,1230,241.3,41.7,89.2,13.5,37.6,16.9,21.7,11.1,33,44.1,26.5,8.2,4.9,14.3,18.6,113.8,0.467,0.36,0.78,98.8,0.543,12.6,25.2,0.189,114.5,0.576
2024,"NBA",26.4,216,1230,241.4,42.2,88.9,12.8,35.1,17,21.7,10.6,33,43.5,26.7,7.5,5.1,13.6,18.7,114.2,0.474,0.366,0.784,98.5,0.547,12.1,24.2,0.192,115.3,0.58
2023,"NBA",26.1,216,1230,241.8,42,88.3,12.3,34.2,18.4,23.5,10.4,33,43.4,25.3,7.3,4.7,14.1,20,114.7,0.475,0.361,0.782,99.2,0.545,12.5,24,0.208,114.8,0.581
2022,"NBA",26.1,215,1230,241.4,40.6,88.1,12.4,35.2,16.9,21.9,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.6,0.461,0.354,0.775,98.2,0.532,12.3,23.2,0.192,112,0.566
2021,"NBA",26.1,217,1080,241.4,41.2,88.4,12.7,34.6,17,21.8,9.8,34.5,44.3,24.8,7.6,4.9,13.8,19.3,112.1,0.466,0.367,0.778,99.2,0.538,12.4,22.2,0.192,112.3,0.572
2020,"NBA",26.1,218,1059,241.8,40.9,88.8,12.2,34.1,17.9,23.1,10.1,34.8,44.8,24.4,7.6,4.9,14.5,20.8,111.8,0.46,0.358,0.773,100.3,0.529,12.8,22.5,0.201,110.6,0.565
2019,"NBA",26.3,219,1230,241.6,41.1,89.2,11.4,32,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5,14.1,20.9,111.2,0.461,0.355,0.766,100,0.524,12.4,22.9,0.198,110.4,0.56
2018,"NBA",26.4,220,1230,241.4,39.6,86.1,10.5,29,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,0.46,0.362,0.767,97.3,0.521,13,22.3,0.193,108.6,0.556
2017,"NBA",26.6,221,1230,241.6,39,85.4,9.7,27,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14,19.9,105.6,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8,0.552
2016,"NBA",26.7,222,1230,241.8,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5,14.4,20.3,102.7,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4,0.541
2015,"NBA",26.7,223,1230,242,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22,7.7,4.8,14.4,20.2,100,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6,0.534
2014,"NBA",26.5,223,1230,242,37.7,83,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22,7.7,4.7,14.6,20.7,101,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6,0.541
2013,"NBA",26.7,223,1229,241.9,37.1,82,7.2,20,16.7,22.2,11.2,31,42.1,22.1,7.8,5.1,14.6,19.8,98.1,0.453,0.359,0.753,92,0.496,13.7,26.5,0.204,105.8,0.535
2012,"NBA",26.6,223,990,241.9,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21,7.7,5.1,14.6,19.6,96.3,0.448,0.349,0.752,91.3,0.487,13.8,27,0.208,104.6,0.527
2011,"NBA",26.6,223,1230,241.9,37.2,81.2,6.5,18,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3,0.541
2010,"NBA",26.6,222,1230,241.7,37.7,81.7,6.4,18.1,18.6,24.5,11,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6,0.543
2009,"NBA",26.6,221,1230,241.7,37.1,80.9,6.6,18.1,19.1,24.7,11,30.3,41.3,21,7.3,4.8,14,21,100,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3,0.544
2008,"NBA",26.8,220,1230,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42,21.8,7.3,4.7,14.1,21,99.9,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5,0.54
2007,"NBA",26.6,219,1230,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5,0.541
2006,"NBA",26.5,220,1230,242.1,35.8,79,5.7,16,19.6,26.3,11.2,29.8,41,20.6,7.2,4.7,14.4,22.8,97,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2,0.536
2005,"NBA",26.9,220,1230,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1,0.529
2004,"NBA",27,220,1189,241.7,35,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15,21.4,93.4,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9,0.516
2003,"NBA",27.2,219,1189,242,35.7,80.8,5.1,14.7,18.5,24.4,12,30.3,42.3,21.5,7.9,5,14.9,21.8,95.1,0.442,0.349,0.758,91,0.474,14,28.5,0.229,103.6,0.519
2002,"NBA",27.4,218,1189,241.7,36.2,81.3,5.2,14.7,17.9,23.8,12.2,30.2,42.4,21.9,7.8,5.2,14.5,21.2,95.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5,0.52
2001,"NBA",27.7,217,1189,242,35.7,80.6,4.8,13.7,18.6,24.9,12,30.5,42.5,21.8,7.8,5.3,15,22.3,94.8,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231,103,0.518
2000,"NBA",27.8,217,1189,241.5,36.8,82.1,4.8,13.7,19,25.3,12.4,30.5,42.9,22.3,7.9,5.2,15.5,23.3,97.5,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231,104.1,0.523
1999,"NBA",27.9,216,725,241.8,34.2,78.2,4.5,13.2,18.8,25.8,12.6,29.1,41.7,20.7,8.4,5,15.3,22.2,91.6,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24,102.2,0.511
1998,"NBA",27.7,215,1189,241.9,35.9,79.7,4.4,12.7,19.4,26.3,13.1,28.5,41.5,22,8.4,5.1,15.5,22.4,95.6,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243,105,0.524
1997,"NBA",27.7,214,1189,241.9,36.1,79.3,6,16.8,18.7,25.3,12.7,28.4,41.1,22,8.2,4.9,15.7,22.1,96.9,0.455,0.36,0.738,90.1,0.493,14.8,30.8,0.236,106.7,0.536
1996,"NBA",27.5,214,1189,241.6,37,80.2,5.9,16,19.5,26.4,12.6,28.6,41.3,22.7,8,5.1,15.8,23,99.5,0.462,0.367,0.74,91.8,0.499,14.7,30.6,0.243,107.6,0.542
1995,"NBA",27.2,213,1107,241.9,38,81.5,5.5,15.3,19.9,27.1,13,28.5,41.6,23.4,8.3,5.2,15.9,23.5,101.4,0.466,0.359,0.737,92.9,0.5,14.6,31.4,0.245,108.3,0.543
1994,"NBA",27.2,212,1107,241.1,39.3,84.4,3.3,9.9,19.6,26.6,13.9,29.1,43,24.4,8.9,5.2,16,22.2,101.5,0.466,0.333,0.734,95.1,0.485,14.3,32.2,0.232,106.3,0.528
1993,"NBA",27.1,211,1107,241.7,40.7,86,3,9,20.9,27.7,13.8,29.3,43.1,24.7,8.6,5.2,15.9,23.2,105.3,0.473,0.336,0.754,96.8,0.491,14,32,0.243,108,0.536
1992,"NBA",27.2,209,1107,241.8,41.3,87.3,2.5,7.6,20.2,26.7,14.4,29.3,43.7,24.5,8.6,5.5,15.6,22.2,105.3,0.472,0.331,0.759,96.6,0.487,13.6,32.9,0.232,108.2,0.531
1991,"NBA",27.2,210,1107,241.8,41.4,87.2,2.3,7.1,21.3,27.9,14,29.3,43.3,24.7,8.6,5.3,16,23.2,106.3,0.474,0.32,0.765,97.8,0.487,13.9,32.3,0.245,107.9,0.534
1990,"NBA",27.1,209,1107,241.5,41.5,87.2,2.2,6.6,21.8,28.5,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107,0.476,0.331,0.764,98.3,0.489,13.9,32.1,0.25,108.1,0.537
1989,"NBA",26.9,209,1025,241.5,42.5,89,2.1,6.6,22.1,28.8,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2,0.477,0.323,0.768,100.6,0.489,14.5,33,0.249,107.8,0.537
1988,"NBA",26.9,210,943,241.3,42.1,87.7,1.6,5,22.3,29.1,14.2,29.2,43.4,25.8,8.5,5.4,16.7,24.1,108.2,0.48,0.316,0.766,99.6,0.489,14.3,32.8,0.254,108,0.538
1987,"NBA",26.6,210,943,241.6,42.6,88.8,1.4,4.7,23.2,30.5,14.7,29.3,44,26,8.6,5.5,17,24.5,109.9,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3,0.538
1986,"NBA",26.8,208,943,241.6,43.2,88.6,0.9,3.3,22.9,30.3,14.1,29.4,43.6,26,8.8,5.3,17.8,25.2,110.2,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2,0.541
1985,"NBA",26.4,208,943,241.4,43.8,89.1,0.9,3.1,22.4,29.4,14.3,29.2,43.5,26.3,8.5,5.3,17.9,24.9,110.8,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9,0.543
1984,"NBA",26.4,207,943,242,43.5,88.4,0.6,2.4,22.6,29.7,14.2,28.8,43,26.2,8.5,5.3,17.9,25.8,110.1,0.492,0.25,0.76,101.4,0.495,15,33,0.255,107.6,0.543
1983,"NBA",26.1,206,943,241.3,43.5,89.7,0.5,2.3,20.9,28.3,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7,0.531
1982,"NBA",26.2,205,943,241.6,43.3,88.2,0.6,2.3,21.3,28.6,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6,0.491,0.262,0.746,100.9,0.495,15,33,0.241,106.9,0.539
1981,"NBA",26.2,205,943,241.4,43,88.4,0.5,2,21.7,28.9,14.5,28.9,43.5,25.5,9,5.3,18.7,25.1,108.1,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5,0.534
1980,"NBA",26.4,204,902,241.8,43.6,90.6,0.8,2.8,21.3,27.8,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3,0.531
1979,"NBA",26.3,204,902,241.1,44.5,91.7,NA,NA,21.3,28.3,14.8,30.4,45.2,25.8,9.1,5.4,19.8,25.3,110.3,0.485,NA,0.752,105.8,0.485,16,32.8,0.232,103.8,0.53
1978,"NBA",26.2,204,902,241.8,43.6,92.9,NA,NA,21.4,28.4,15,32.1,47.1,25,9.6,5.1,20.1,25.2,108.5,0.469,NA,0.752,106.7,0.469,16,31.8,0.23,100.9,0.515
1977,"NBA",26.2,204,902,241,42.8,92,NA,NA,20.8,27.7,15,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5,0.465,NA,0.751,106.5,0.465,16.5,31.8,0.226,99.5,0.511
1976,"NBA",26.5,204,738,241.4,42.1,91.7,NA,NA,20.2,26.9,14.4,33,47.4,23,8.9,4.4,19.8,24.8,104.3,0.458,NA,0.751,105.5,0.458,16,30.3,0.221,98.3,0.504
1975,"NBA",26.7,203,738,241.4,41.7,91.1,NA,NA,19.3,25.2,14.2,32.9,47.1,23.8,8.8,4.3,19.8,24.3,102.6,0.457,NA,0.765,104.5,0.457,16.3,30.2,0.211,97.7,0.502
1974,"NBA",26.9,205,697,241,43.1,93.9,NA,NA,19.6,25.4,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,0.459,NA,0.771,107.8,0.459,16.5,30.5,0.209,97.7,0.503
1973,"NBA",26.7,205,697,240.9,44.2,96.9,NA,NA,19.2,25.3,NA,NA,50.6,25.2,NA,NA,20.2,22.8,107.6,0.456,NA,0.758,NA,0.456,15.7,NA,0.198,NA,0.498
1972,"NBA",26.6,206,697,241.1,43.4,95.5,NA,NA,23.3,31.2,NA,NA,51.1,24.1,NA,NA,19.6,23.6,110.2,0.455,NA,0.748,NA,0.455,15.2,NA,0.244,NA,0.504
1971,"NBA",26.6,205,697,241,44,98,NA,NA,24.3,32.7,NA,NA,53.1,24.3,NA,NA,19.5,24.4,112.4,0.449,NA,0.745,NA,0.449,14.8,NA,0.248,NA,0.5
1970,"NBA",26.8,205,574,241.6,45.7,99.4,NA,NA,25.3,33.7,NA,NA,52.9,24.7,NA,NA,1.5,25.1,116.7,0.46,NA,0.751,NA,0.46,1.3,NA,0.255,NA,0.511
1969,"NBA",26.9,207,574,241.4,43.7,99,NA,NA,25,35,NA,NA,56.9,23.1,NA,NA,1.3,25.5,112.3,0.441,NA,0.714,NA,0.441,1.1,NA,0.252,NA,0.491
1968,"NBA",26.8,206,492,241.4,45,100.8,NA,NA,26.7,37.1,NA,NA,66.2,22.8,NA,NA,NA,26.3,116.6,0.446,NA,0.72,NA,0.446,NA,NA,0.265,NA,0.498
1967,"NBA",26.6,206,405,241.3,45.5,103.1,NA,NA,26.5,36.2,NA,NA,67.3,22.4,NA,NA,NA,26.2,117.4,0.441,NA,0.732,NA,0.441,NA,NA,0.257,NA,0.493
1966,"NBA",26.6,207,360,240.5,44.3,102.4,NA,NA,26.9,37,NA,NA,68.2,22.9,NA,NA,NA,26.2,115.5,0.433,NA,0.727,NA,0.433,NA,NA,0.262,NA,0.487
1965,"NBA",26.4,208,360,241.7,42.5,99.8,NA,NA,25.6,35.6,NA,NA,67.3,21,NA,NA,NA,25.9,110.6,0.426,NA,0.721,NA,0.426,NA,NA,0.257,NA,0.479
1964,"NBA",26.4,207,360,NA,42.9,99.1,NA,NA,25.3,35,NA,NA,65.9,21.4,NA,NA,NA,26.8,111,0.433,NA,0.722,NA,0.433,NA,NA,0.255,NA,0.485
1963,"NBA",26.3,205,360,NA,44.6,101.2,NA,NA,26.1,35.9,NA,NA,66.7,22.7,NA,NA,NA,26,115.3,0.441,NA,0.727,NA,0.441,NA,NA,0.258,NA,0.493
1962,"NBA",26.4,205,360,NA,45.9,107.7,NA,NA,27,37.1,NA,NA,71.4,23.9,NA,NA,NA,25.9,118.8,0.426,NA,0.727,NA,0.426,NA,NA,0.25,NA,0.479
1961,"NBA",26.4,205,316,NA,45.4,109.4,NA,NA,27.4,37.4,NA,NA,73.3,24.2,NA,NA,NA,26.8,118.1,0.415,NA,0.733,NA,0.415,NA,NA,0.25,NA,0.469
1960,"NBA",26.5,204,300,NA,44.5,108.7,NA,NA,26.3,35.8,NA,NA,73.5,22.6,NA,NA,NA,25.6,115.3,0.41,NA,0.735,NA,0.41,NA,NA,0.242,NA,0.463
1959,"NBA",26.4,202,288,NA,40.4,102.3,NA,NA,27.4,36.3,NA,NA,70,19.6,NA,NA,NA,26,108.2,0.395,NA,0.756,NA,0.395,NA,NA,0.268,NA,0.457
1958,"NBA",26.8,202,288,NA,39,101.9,NA,NA,28.6,38.3,NA,NA,71.7,19.6,NA,NA,NA,25.5,106.6,0.383,NA,0.746,NA,0.383,NA,NA,0.281,NA,0.449
1957,"NBA",26.2,201,288,NA,35.9,94.6,NA,NA,27.7,36.9,NA,NA,62.4,18.9,NA,NA,NA,25.1,99.6,0.38,NA,0.751,NA,0.38,NA,NA,0.293,NA,0.449
1956,"NBA",26.3,200,288,NA,35.3,91.4,NA,NA,28.4,38,NA,NA,60.1,24.3,NA,NA,NA,26.4,99,0.387,NA,0.745,NA,0.387,NA,NA,0.31,NA,0.458
1955,"NBA",26.7,197,288,NA,33.3,86.4,NA,NA,26.5,35.9,NA,NA,56.1,23.6,NA,NA,NA,24.8,93.1,0.385,NA,0.738,NA,0.385,NA,NA,0.307,NA,0.455
1954,"NBA",26.4,197,324,NA,28.1,75.4,NA,NA,23.4,33,NA,NA,50.9,20.3,NA,NA,NA,25.4,79.5,0.372,NA,0.709,NA,0.372,NA,NA,0.311,NA,0.442
1953,"NBA",26.4,196,351,NA,28.5,77.1,NA,NA,25.7,35.9,NA,NA,51.5,21,NA,NA,NA,28.8,82.7,0.37,NA,0.716,NA,0.37,NA,NA,0.333,NA,0.445
1952,"NBA",26.3,195,330,NA,29.6,80.8,NA,NA,24.4,33.2,NA,NA,54.5,21.9,NA,NA,NA,26.9,83.7,0.367,NA,0.735,NA,0.367,NA,NA,0.302,NA,0.438
1951,"NBA",NA,NA,354,NA,29.8,83.6,NA,NA,24.5,33.4,NA,NA,49.5,21,NA,NA,NA,27,84.1,0.357,NA,0.733,NA,0.357,NA,NA,0.293,NA,0.428
1950,"NBA",NA,NA,561,NA,28.2,83.1,NA,NA,23.6,33,NA,NA,NA,19.6,NA,NA,NA,27,80,0.34,NA,0.714,NA,0.34,NA,NA,0.284,NA,0.41
1949,"BAA",NA,NA,360,NA,29,88.7,NA,NA,22,31.3,NA,NA,NA,18.6,NA,NA,NA,25.6,80,0.327,NA,0.703,NA,0.327,NA,NA,0.248,NA,0.39
1948,"BAA",NA,NA,192,NA,27.2,96,NA,NA,18.2,27,NA,NA,NA,7,NA,NA,NA,22.2,72.7,0.284,NA,0.675,NA,0.284,NA,NA,0.19,NA,0.337
1947,"BAA",NA,NA,331,NA,25.9,92.9,NA,NA,15.9,24.8,NA,NA,NA,6.9,NA,NA,NA,20.8,67.8,0.279,NA,0.641,NA,0.279,NA,NA,0.171,NA,0.326
